date,unity,cattail,hawlings,kitzmiller,barnum,barton,bloomington,luke,wills,nbp_cumb,patterson,sbr,town,pawpaw,sideling,cacapon,hancock,conoco,opequon,antietam,shen_mill,por,monoc_jug,bennett,goose,seneca,lfalls,cedar
2021-01-01,93.3,75,67.7,892,945,76.7,179,1240,397,1870,222,1700,115,4150,66.1,685,5060,772,304,330,5000,14500,1080,236,516,224,16900,164
2021-01-02,203,112,149,1570,1140,162,183,1470,714,2600,616,4050,287,7080,142,1280,6250,1330,1290,546,5680,17000,5300,404,1380,612,23400,612
2021-01-03,96.7,46.3,64.6,1300,1240,281,272,1680,993,3330,544,5990,333,11100,218,2370,12800,1260,775,440,8570,22400,2810,190,846,360,25700,370
2021-01-04,84.3,39.8,51.5,1170,1240,286,331,1740,966,3450,474,4620,314,10000,209,1820,12600,1200,590,412,9430,28900,2330,159,797,293,31900,286
2021-01-05,72.4,33.7,40.7,950,1240,206,332,1720,810,3130,409,3550,263,8360,174,1400,10500,1040,462,383,8040,26000,1810,130,666,222,31500,199
2021-01-06,65.2,30.6,37,812,1230,138,332,1690,648,2830,346,2870,219,7040,139,1130,8700,910,389,358,6820,22300,1440,113,584,184,26900,155
2021-01-07,58.2,28.6,33.4,718,1230,102,332,1680,522,2580,290,2350,179,6000,110,940,7360,795,339,335,5840,19200,1210,104,512,157,22800,126
2021-01-08,53.6,27.8,31.5,653,932,82.1,328,1420,440,2360,253,1930,154,5250,90.8,796,6380,714,307,320,5100,16700,1050,97.1,469,142,19500,110
2021-01-09,49.7,27.9,30,593,734,67.6,325,1190,378,1830,221,1670,137,4410,78.2,696,5590,652,286,304,4540,14600,937,91.2,437,133,17100,99.6
2021-01-10,45.7,25.7,28.7,531,733,55.8,323,1170,321,1720,191,1470,119,3880,63.5,617,4780,595,265,289,4130,13000,814,83.8,401,124,15100,88
2021-01-11,43.5,25.3,28.3,416,729,48,228,1070,280,1610,168,1290,103,3540,47.9,542,4320,546,247,277,3800,11600,737,78.7,368,117,13500,80
2021-01-12,42.3,25,27.3,366,624,43.1,177,920,254,1430,150,1150,89.2,3160,48,477,3910,508,236,271,3510,10500,686,75.2,352,114,12300,73.8
2021-01-13,41,24.8,26.9,330,521,39.2,175,802,233,1200,137,1060,88,2820,49.4,431,3520,481,225,265,3280,9600,639,72.2,339,111,11300,69.1
2021-01-14,40.3,25.3,26.5,306,465,36.9,134,708,220,1150,127,988,79.6,2590,42.9,398,3170,463,219,258,3140,8840,611,71,321,110,10500,63.3
2021-01-15,39.6,24.8,26.2,305,426,35.5,109,627,211,986,121,942,75.5,2380,37.4,378,2990,444,212,253,2960,8210,593,69.7,308,109,9760,54.2
