reach,subreach,flow,lag_reach,pct_subreach,lag_marfc
por_to_lfalls,upstr_lfalls_accum_to_lfalls,0,70,1,48
por_to_lfalls,upstr_lfalls_accum_to_lfalls,500,48,1,30
por_to_lfalls,upstr_lfalls_accum_to_lfalls,2500,22,1,24
por_to_lfalls,upstr_lfalls_accum_to_lfalls,5000,12,1,18
por_to_lfalls,upstr_lfalls_accum_to_lfalls,12500,10,1,12
por_to_lfalls,upstr_lfalls_accum_to_lfalls,100000,9,1,9
monoc_to_lfalls,monoc_to_lfalls,0,36,1,36
monoc_to_lfalls,monoc_to_lfalls,100,30,1,30
monoc_to_lfalls,monoc_to_lfalls,1000,24,1,24
monoc_to_lfalls,monoc_to_lfalls,2500,18,1,18
monoc_to_lfalls,monoc_to_lfalls,100000,9,1,9
goose_to_lfalls,goose_to_lfalls,0,24,1,24
goose_to_lfalls,goose_to_lfalls,500,18,1,18
goose_to_lfalls,goose_to_lfalls,2000,12,1,12
goose_to_lfalls,goose_to_lfalls,100000,6,1,6
seneca_to_lfalls,seneca_to_lfalls,0,18,1,18
seneca_to_lfalls,seneca_to_lfalls,50,12,1,12
seneca_to_lfalls,seneca_to_lfalls,500,6,1,6
seneca_to_lfalls,seneca_to_lfalls,100000,3,1,3
