date_time,unity,cattail,hawlings,kitzmiller,barnum,barton,bloomington,luke,wills,nbp_cumb,patterson,sbr,town,pawpaw,sideling,cacapon,hancock,conoco,opequon,antietam,shen_mill,por,monoc_jug,bennett,goose,seneca,lfalls,cedar
2022-01-01,7,6,6,395,158,108,110,298,288,532,19,119,17,532,10,32,522,58,24,44,220,868,105,11,25,30,355.3325000000001,5
2022-01-02,16,9,20,980,325,213,181,572,738,1510,102,242,250,1965,176,53,1435,185,44,66,232,1128,488,26,64,100,842.3325000000001,13
2022-01-03,9,6,8,462,555,90,206,818,382,1255,72,492,120,2060,84,108,2360,201,47,62,249,2368,410,14,59,54,1357.3325,16
2022-01-04,7,5,6,292,665,53,204,915,231,1252,54,420,71,1912,44,106,2082,140,37,50,275,3500,220,11,52,37,2962.3325,28
2022-01-05,6,5,5,232,560,35,190,805,168,1148,42,318,52,1670,30,82,1845,114,32,48,285,3050,167,10,40,27,2912.3325,21
2022-01-06,6,4,5,192,375,26,154,558,132,802,34,258,42,1322,25,67,1582,100,29,46,282,2675,156,9,36,25,2512.3325,22
2022-01-07,6,4,5,170,372,20,134,525,108,702,29,229,37,1080,21,62,1235,95,29,47,292,2365,144,9,36,24,2212.3325,29
2022-01-08,5,4,4,140,372,17,132,520,80,642,22,201,28,958,14,56,1088,79,26,46,288,1942,126,8,30,22,1872.3325,19
2022-01-09,6,5,5,305,370,20,131,522,80,638,19,168,27,900,13,48,988,74,26,44,285,1742,114,9,34,24,1545.3325,32
2022-01-10,8,6,8,412,370,26,110,500,97,680,22,248,26,915,10,44,948,82,27,45,295,1632,148,13,48,36,1495.3325,58
2022-01-11,6,5,5,231,370,23,100,482,78,608,26,580,24,1248,9,41,1100,69,31,44,332,1615,151,10,44,25,1322.3325,25
2022-01-12,6,4,4,191,290,23,100,408,78,572,25,452,30,1152,7,46,1258,62,29,45,362,1705,131,10,37,22,1250.3325,16
2022-01-13,6,4,4,168,244,18,100,348,84,472,25,378,30,1008,9,60,1158,71,28,45,392,1932,142,9,47,22,1425.3325,15
2022-01-14,6,4,4,152,204,15,78,292,77,450,26,325,21,905,8,72,1028,70,28,45,430,1922,129,9,40,21,1590.3325,14
2022-01-15,5,4,4,132,176,13,64,245,68,352,25,285,18,765,7,60,930,70,26,46,408,1792,132,8,38,20,1530.3325,12
2022-01-16,5,4,3,108,177,11,54,236,44,320,18,242,12,630,5,50,768,48,23,45,390,1572,102,8,20,19,1347.3325,13
2022-01-17,26,21,24,112,177,13,46,229,55,310,12,193,17,578,7,43,688,56,28,48,340,1385,193,46,80,103,1132.3325,76
2022-01-18,12,8,9,106,176,13,45,226,63,322,15,181,32,572,13,45,670,80,30,54,315,1305,400,21,104,57,1100.3325,58
2022-01-19,9,6,6,100,176,12,45,226,57,308,18,208,26,590,11,54,702,78,28,49,440,1470,275,16,75,36,1260.3325,54
2022-01-20,26,14,18,120,175,11,34,218,64,330,32,208,27,612,10,70,708,71,32,51,428,1535,310,41,166,86,1397.3325,126
2022-01-21,15,7,9,91,156,10,28,192,44,280,35,239,21,618,10,71,748,64,56,54,528,1615,450,26,178,62,1477.3325,65
2022-01-22,9,6,6,75,145,10,28,179,35,233,27,204,17,558,10,93,705,58,45,51,500,1670,247,16,106,38,1515.3325,30
2022-01-23,10,5,5,84,145,9,28,180,50,260,26,175,25,558,12,79,658,63,40,50,545,1590,198,19,107,31,1375.3325,22
2022-01-24,8,5,5,81,144,8,28,179,54,265,28,219,27,590,13,76,690,71,36,50,585,1622,203,15,82,28,1447.3325,18
2022-01-25,8,5,5,77,126,7,28,162,48,255,26,207,22,578,11,76,690,71,34,50,532,1660,179,14,68,26,1432.3325,17
2022-01-26,7,5,4,68,113,6,27,145,38,213,24,187,16,502,8,75,635,56,33,48,525,1590,152,12,61,24,1360.3325,14
2022-01-27,7,4,4,56,113,5,22,140,29,189,18,176,15,442,6,61,555,42,31,46,448,1425,118,12,50,22,1142.3325,11
2022-01-28,7,4,4,70,112,7,20,138,42,204,18,146,23,445,9,52,530,50,30,46,405,1292,136,11,57,22,1060.3325,10
2022-01-29,6,4,4,60,112,6,20,136,34,196,16,134,20,418,8,50,502,50,30,46,420,1285,130,10,44,22,947.3325000000001,10
2022-01-30,6,4,4,55,98,5,20,124,27,178,13,120,13,362,6,46,435,42,28,45,385,1120,92,11,36,20,765.3325000000001,12
2022-01-31,5,4,3,58,89,5,20,120,34,177,14,112,19,340,8,42,408,51,27,44,350,1045,114,9,46,20,600.3325000000001,9
2022-02-01,5,4,3,54,89,5,20,120,29,162,12,112,16,348,7,41,442,49,26,44,392,1052,108,9,35,19,715.3325000000001,8
2022-02-02,6,4,4,52,89,6,20,120,28,161,14,112,17,358,7,41,425,48,26,44,340,1040,108,9,36,19,750.3325000000001,8
2022-02-03,12,8,9,108,90,17,20,120,54,193,26,138,35,405,13,49,452,96,36,50,368,1138,166,22,62,43,762.3325000000001,23
2022-02-04,26,13,20,658,116,107,25,171,502,865,176,710,385,1795,335,298,1575,782,192,136,520,1662,1178,46,237,84,1510.3325,198
2022-02-05,16,8,11,298,151,73,60,228,368,822,170,2550,246,3975,196,900,4800,618,206,151,1690,6475,988,29,260,66,4762.3325,106
2022-02-06,10,6,7,203,152,43,83,244,219,615,118,1455,126,2725,93,485,3900,365,100,113,2925,9500,445,19,145,40,9412.3325,48
2022-02-07,9,5,6,171,151,30,83,242,160,510,94,902,86,1878,59,322,2525,285,72,98,2100,7000,330,17,112,32,8337.3325,33
2022-02-08,9,5,6,150,151,23,82,239,130,455,78,642,68,1458,43,247,1882,240,62,90,1548,5175,292,16,100,29,5837.3325,28
2022-02-09,8,5,5,134,135,20,82,227,108,410,65,498,54,1202,32,201,1538,207,54,89,1228,4175,258,14,84,27,4412.3325,23
2022-02-10,8,5,5,143,105,19,70,184,109,370,59,410,51,1045,30,170,1322,190,51,82,1038,3450,236,13,76,26,3537.3325,20
2022-02-11,7,5,5,141,105,18,65,179,109,348,52,355,48,938,27,152,1180,176,48,76,882,3000,223,12,67,24,2937.3325,21
2022-02-12,7,5,4,166,105,21,65,180,126,360,47,310,46,875,26,135,1078,166,46,72,788,2650,206,12,61,24,2587.3325,19
2022-02-13,7,5,5,160,106,22,65,180,131,365,43,282,44,855,26,122,1030,157,44,70,710,2405,204,12,58,26,2337.3325,21
2022-02-14,7,5,4,131,106,19,64,178,117,345,38,260,39,798,23,110,975,144,42,67,662,2245,196,11,56,24,2112.3325,21
2022-02-15,7,4,4,111,106,23,53,168,95,308,32,231,28,712,15,98,888,120,40,64,625,2110,169,10,47,22,1950.3325,17
2022-02-16,6,4,4,110,106,20,46,161,90,295,30,202,32,650,19,82,795,113,38,62,605,1942,150,10,45,22,1777.3325,16
2022-02-17,7,5,4,164,107,26,48,171,105,302,30,203,33,622,20,78,750,120,38,62,562,1788,150,11,44,23,1605.3325,16
