date,kitzmiller,barnum,barton,bloomington,luke,por,monoc_jug,goose,seneca,lfalls
2022-07-13T04:00:00Z,1125,224,4.96,53,293,876,75,21,81,517.3325000000001
2022-07-13T05:00:00Z,1100,226.25,5.185,53,290,869,76,21,80,525.3325000000001
2022-07-13T06:00:00Z,1020.75,225.5,5.925,53,293,856,76,20,69,553.3325000000001
2022-07-13T07:00:00Z,915.75,225.5,6.27,53,291,849,76,20,59,599.3325000000001
2022-07-13T08:00:00Z,820,224,6.449999999999999,53,289.25,843,76,20,50,614.3325000000001
2022-07-13T09:00:00Z,734.75,225.5,6.449999999999999,53,291.25,836,76,20,43,623.3325000000001
2022-07-13T10:00:00Z,662.5,225.5,6.27,53,289.5,830,79,20,37,614.3325000000001
2022-07-13T11:00:00Z,596,224.75,6.27,53,291.6666666666667,825,84,20,33,599.3325000000001
2022-07-13T12:00:00Z,536,224.75,6.182499999999999,53,290.25,825,91,21,30,595.3325000000001
2022-07-13T13:00:00Z,484.5,225.5,5.92,53,290.6666666666667,825,96,21,28,595.3325000000001
2022-07-13T14:00:00Z,440.5,225.5,5.92,53,289.5,823,101,21,26,584.3325000000001
2022-07-13T15:00:00Z,401.5,224.75,5.92,53,293,825,104,21,26,587.3325000000001
2022-07-13T16:00:00Z,372.75,225.5,5.92,53,293,825,107,21,26,580.3325000000001
2022-07-13T17:00:00Z,346.75,225.75,5.59,53,293,829,119,21,26,569.3325000000001
2022-07-13T18:00:00Z,322.5,229,5.59,53,289,841,158,21,27,565.3325000000001
2022-07-13T19:00:00Z,303.75,227,5.5075,53,291,851,218,21,26,560.3325000000001
2022-07-13T20:00:00Z,285,224.75,5.26,53,289,859,261,21,25,552.3325000000001
2022-07-13T21:00:00Z,270,224,5.26,53,286,871,277,21,24,552.3325000000001
2022-07-13T22:00:00Z,254.25,224,5.109999999999999,53,NA,880,276,22,25,540.3325000000001
2022-07-13T23:00:00Z,243,224.75,4.96,53,289,882,268,22,25,532.3325000000001
2022-07-14T00:00:00Z,232.25,224.75,4.96,53,289,887,256,22,24,521.3325000000001
2022-07-14T01:00:00Z,221,224.75,4.735,53,286,892,243,22,24,510.3325000000001
2022-07-14T02:00:00Z,212.5,224.75,4.66,53,288,892,231,22,24,495.3325000000001
2022-07-14T03:00:00Z,203,225.5,4.66,53,286,892,219,22,24,491.3325000000001
2022-07-14T04:00:00Z,194.5,224.75,4.66,53,289,892,209,22,25,484.3325000000001
2022-07-14T05:00:00Z,186.25,225.5,4.66,53,289,896,200,22,25,631.3325000000001
2022-07-14T06:00:00Z,179.25,224,4.66,53,290.6666666666667,902,190,22,25,670.3325000000001
2022-07-14T07:00:00Z,172.5,226.25,4.45,53,290.6666666666667,908,182,22,25,634.3325000000001
2022-07-14T08:00:00Z,166.25,224.75,4.38,53,286,913,174,22,24,572.3325000000001
2022-07-14T09:00:00Z,160,224.75,4.38,53,287.5,924,166,22,23,525.3325000000001
2022-07-14T10:00:00Z,155,225.5,4.38,53,293,935,160,22,23,506.3325000000001
2022-07-14T11:00:00Z,151,224,4.38,53,289.3333333333333,946,153,22,21,491.3325000000001
2022-07-14T12:00:00Z,149.5,224,4.38,53,288.3333333333333,954,148,23,20,484.3325000000001
2022-07-14T13:00:00Z,146.75,225.5,4.38,53,293,961,143,23,19,472.3325000000001
2022-07-14T14:00:00Z,144.5,226.25,4.31,53,291,966,138,22,19,457.3325000000001
2022-07-14T15:00:00Z,141.25,224.75,4.1,53,293,976,134,22,19,457.3325000000001
2022-07-14T16:00:00Z,138,225.5,4.1,53,291.6666666666667,976,130,22,18,450.3325000000001
2022-07-14T17:00:00Z,134.25,227.25,4.1,53,286,970,127,22,20,457.3325000000001
2022-07-14T18:00:00Z,130.5,229,4.1,53,290.3333333333333,966,124,22,20,461.3325000000001
2022-07-14T19:00:00Z,127.5,226.25,4.1,53,289,964,121,21,21,472.3325000000001
