date_time,unity,cattail,hawlings,kitzmiller,barnum,barton,bloomington,luke,wills,nbp_cumb,patterson,sbr,town,pawpaw,sideling,cacapon,hancock,conoco,opequon,antietam,shen_mill,por,monoc_jug,bennett,goose,seneca,lfalls,cedar
2022-01-01,8,6,7,458,184,126,128,345,334,618,22,138,20,618,12,37,606,68,28,51,255,1006,122,13,29,35,538.405,6
2022-01-02,18,11,24,1137,377,247,210,664,855,1752,118,281,290,2279,205,61,1665,214,51,77,269,1308,566,30,74,115,1104.405,15
2022-01-03,10,7,9,536,644,104,239,948,444,1456,84,571,139,2390,97,125,2738,233,55,72,289,2746,476,17,68,63,1701.405,18
2022-01-04,8,6,7,339,771,62,237,1061,268,1453,63,487,82,2218,51,124,2416,163,43,58,319,4060,255,13,61,43,3563.4049999999997,32
2022-01-05,7,5,6,269,650,41,221,934,195,1331,49,368,60,1937,35,95,2140,132,37,55,331,3538,194,11,47,32,3505.4049999999997,25
2022-01-06,7,5,5,222,435,30,179,647,153,931,39,299,49,1534,29,77,1836,117,34,54,328,3103,180,11,41,29,3041.4049999999997,26
2022-01-07,7,5,5,197,432,23,155,609,125,815,34,266,43,1253,24,72,1433,110,33,55,339,2743,167,11,41,28,2693.4049999999997,34
2022-01-08,6,5,5,163,432,20,153,603,93,745,26,233,32,1111,16,64,1262,91,31,53,334,2253,146,10,35,26,2299.4049999999997,22
2022-01-09,7,5,6,354,429,23,152,606,93,740,22,195,31,1044,15,56,1146,86,30,52,331,2021,132,10,40,28,1919.405,38
2022-01-10,9,7,10,478,429,30,128,580,112,789,25,287,30,1061,12,50,1099,95,31,52,342,1894,172,15,56,42,1861.405,67
2022-01-11,7,5,6,268,429,26,116,560,90,705,31,673,28,1447,11,48,1276,80,36,51,386,1873,175,11,52,29,1661.405,29
2022-01-12,7,5,5,222,336,27,116,473,90,664,29,525,35,1337,8,54,1459,72,33,52,420,1978,152,12,43,26,1577.405,19
2022-01-13,7,5,5,195,282,21,116,403,97,548,29,438,35,1169,10,69,1343,82,33,52,455,2242,165,11,55,25,1780.405,17
2022-01-14,7,5,5,177,236,18,90,339,89,522,30,377,25,1050,10,84,1192,81,32,52,499,2230,150,10,47,25,1971.405,16
2022-01-15,6,5,5,153,204,15,74,284,79,409,29,331,21,887,8,69,1079,81,30,53,473,2079,153,10,44,23,1901.405,14
2022-01-16,6,4,4,125,205,12,63,273,51,371,21,280,14,731,6,58,890,56,26,52,452,1824,119,9,24,22,1690.405,15
2022-01-17,30,24,28,130,205,15,53,266,64,360,14,224,19,670,8,50,798,65,32,55,394,1607,224,53,93,119,1440.405,88
2022-01-18,14,9,10,123,204,15,52,262,73,374,18,210,37,664,15,52,777,93,35,63,365,1514,464,24,120,66,1403.405,67
2022-01-19,11,7,7,116,204,14,52,262,66,357,21,241,30,684,13,63,815,90,32,57,510,1705,319,19,87,42,1588.405,63
2022-01-20,30,17,21,139,203,13,39,253,75,383,37,242,31,710,12,81,821,82,37,59,496,1781,360,48,193,100,1748.405,146
2022-01-21,18,8,10,106,181,11,32,223,51,325,41,278,25,716,12,82,867,74,65,63,612,1873,522,30,207,72,1840.405,75
2022-01-22,10,6,6,87,168,12,32,207,41,271,32,237,19,647,11,108,818,68,52,59,580,1937,287,19,123,44,1884.405,35
2022-01-23,11,6,6,97,168,11,32,208,58,302,31,203,29,647,14,91,763,73,46,57,632,1844,229,22,124,36,1722.405,25
2022-01-24,10,6,6,94,168,10,32,207,62,307,32,254,31,684,15,88,800,83,42,58,679,1882,235,17,95,32,1806.405,21
2022-01-25,9,6,6,89,147,9,32,188,56,296,30,240,25,670,13,88,800,82,40,57,618,1926,207,16,78,30,1788.405,19
2022-01-26,8,5,5,79,131,7,32,168,44,247,28,217,19,583,9,87,737,65,38,56,609,1844,177,14,70,28,1704.405,16
2022-01-27,8,5,5,66,131,6,26,162,34,219,20,204,17,513,7,71,644,48,36,54,519,1653,137,14,58,26,1452.405,13
2022-01-28,8,5,5,81,130,8,23,160,48,236,21,170,26,516,10,60,615,57,35,53,470,1499,157,12,66,26,1356.405,11
2022-01-29,7,5,5,70,130,7,23,158,40,228,18,155,23,484,9,57,583,59,34,54,487,1491,150,12,52,26,1226.405,12
2022-01-30,7,5,4,64,113,6,23,143,32,207,15,139,15,420,7,53,505,49,32,52,447,1299,107,13,42,23,1014.405,14
2022-01-31,6,5,4,67,104,6,23,131,39,205,17,130,22,394,10,48,473,59,31,51,406,1212,132,11,53,23,823.405,11
2022-02-01,6,5,4,62,104,6,23,131,34,188,14,130,19,403,8,48,513,57,31,52,455,1221,126,10,40,22,956.405,10
2022-02-02,7,5,4,61,103,7,23,130,33,187,16,130,20,415,8,47,493,55,30,51,394,1206,125,10,41,23,997.405,9
2022-02-03,14,10,11,126,104,20,23,139,63,224,31,160,41,470,15,57,525,111,42,59,426,1320,192,25,72,50,1011.405,27
2022-02-04,30,15,23,763,135,124,29,198,583,1003,204,824,447,2082,389,345,1827,908,223,158,603,1928,1366,54,275,97,1878.405,230
2022-02-05,18,9,13,345,175,85,70,264,426,954,197,2958,286,4611,228,1044,5568,716,238,175,1960,7511,1146,34,302,77,5651.405,123
2022-02-06,12,7,8,236,176,50,96,283,254,713,136,1688,146,3161,108,563,4524,423,116,131,3393,11020,516,22,168,47,11045.405,56
2022-02-07,11,6,7,198,175,34,97,280,186,592,109,1047,100,2178,69,374,2929,331,84,113,2436,8120,383,20,130,37,9798.405,38
2022-02-08,10,6,6,174,175,27,95,278,151,528,91,745,79,1691,50,287,2184,278,71,105,1795,6003,339,18,115,34,6898.405,33
2022-02-09,9,6,6,155,157,23,95,263,125,476,76,577,62,1395,37,233,1783,240,63,103,1424,4843,299,16,98,31,5245.405,26
2022-02-10,9,6,6,166,122,22,82,214,126,429,68,476,59,1212,34,198,1534,220,59,95,1204,4002,274,16,88,30,4230.405,23
2022-02-11,8,5,5,164,122,21,75,208,127,403,61,412,56,1088,32,177,1369,205,56,88,1024,3480,258,14,78,28,3534.4049999999997,25
2022-02-12,8,6,5,193,122,24,75,209,146,418,55,360,53,1015,30,157,1250,192,54,84,913,3074,239,14,70,27,3128.4049999999997,22
2022-02-13,8,6,5,185,122,25,75,209,152,423,50,328,51,992,30,141,1195,182,51,81,824,2790,236,14,67,30,2838.4049999999997,24
2022-02-14,8,5,5,152,122,22,74,206,135,400,44,302,45,925,27,128,1131,167,49,78,768,2604,228,13,65,28,2577.4049999999997,24
2022-02-15,8,5,5,128,122,27,62,195,110,357,37,268,32,826,18,113,1030,139,46,74,725,2448,196,12,55,26,2389.4049999999997,20
2022-02-16,7,5,5,127,122,23,54,187,104,342,34,235,37,754,22,95,922,131,44,72,702,2253,174,12,52,26,2188.4049999999997,19
2022-02-17,8,5,5,191,124,30,55,199,122,351,35,236,38,722,23,91,870,139,44,71,652,2074,174,12,51,27,1988.405,19
2022-02-18,8,5,5,792,160,144,61,269,409,893,108,394,253,1647,172,122,1418,389,48,84,629,2030,328,12,54,30,1846.405,20
2022-02-19,7,5,5,339,179,87,95,296,302,786,115,1108,172,2340,135,193,2572,403,47,92,624,3219,461,11,49,27,2101.4049999999997,17
2022-02-20,7,5,5,248,179,52,111,302,219,670,96,870,110,2047,81,201,2532,290,43,77,621,4495,255,10,44,24,3766.4049999999997,16
2022-02-21,7,5,5,220,179,37,111,299,176,592,83,652,86,1659,57,170,2027,245,42,75,670,4205,207,10,41,24,4085.4049999999997,14
2022-02-22,7,5,5,202,249,30,110,362,151,563,72,528,71,1418,45,153,1720,226,41,74,670,3567,203,11,42,24,3563.4049999999997,15
2022-02-23,7,5,5,197,286,29,110,406,142,638,64,455,64,1357,39,139,1549,220,42,76,664,3132,229,12,44,26,3099.4049999999997,8
2022-02-24,7,5,5,169,285,24,109,403,120,597,55,418,52,1264,30,129,1482,199,41,75,647,2900,233,10,44,24,2809.4049999999997,9
2022-02-25,11,8,10,618,296,53,110,449,227,844,131,490,94,1499,42,137,1470,230,59,86,682,2886,331,19,151,68,3012.4049999999997,40
2022-02-26,10,6,8,394,290,76,112,435,261,966,168,1276,141,2668,89,241,2508,316,89,97,850,3248,673,17,151,45,3157.4049999999997,28
2022-02-27,8,6,6,284,290,55,126,441,235,861,133,1151,107,2529,74,299,3045,269,70,88,931,4930,377,14,109,34,4056.4049999999997,22
2022-02-28,8,5,6,235,290,39,132,444,193,795,110,884,86,2129,59,258,2572,235,60,82,966,5249,304,13,94,31,5129.405,19
2022-03-01,8,5,5,204,248,30,131,400,157,708,93,687,70,1795,45,221,2169,210,54,80,884,4553,262,12,81,29,4636.405,16
2022-03-02,7,5,5,181,225,25,131,368,133,603,80,557,60,1508,37,190,1850,194,50,80,826,3944,241,12,76,29,3969.4049999999997,15
2022-03-03,7,5,5,179,194,21,116,325,118,563,70,473,52,1328,31,166,1595,181,48,79,774,3422,224,12,70,28,3476.4049999999997,14
2022-03-04,7,5,5,158,154,17,87,254,99,449,61,444,44,1163,26,146,1421,164,44,74,716,3016,202,11,61,26,3012.4049999999997,12
2022-03-05,7,5,5,142,144,16,63,218,88,377,54,377,39,998,21,131,1247,151,42,74,664,2709,184,10,56,26,2664.4049999999997,7
2022-03-06,7,5,5,133,144,15,55,211,83,348,49,336,36,887,20,115,1088,145,42,73,618,2424,177,11,54,26,2391.4049999999997,7
2022-03-07,7,5,5,139,144,15,55,211,81,345,46,313,35,838,20,107,1003,143,42,73,592,2207,178,11,54,26,2136.4049999999997,6
2022-03-08,7,5,5,167,144,15,44,201,80,345,42,392,36,861,22,103,969,150,41,73,571,2094,188,11,53,26,1954.405,7
2022-03-09,8,6,6,182,144,15,35,195,81,328,46,505,34,977,20,103,1047,149,42,74,560,2059,197,13,54,37,1930.405,26
2022-03-10,9,6,6,198,144,16,35,195,86,360,59,534,50,1105,32,106,1198,181,53,79,566,2134,287,14,73,39,1977.405,28
2022-03-11,7,5,5,165,144,17,35,194,80,336,56,539,44,1102,31,113,1288,168,50,74,571,2369,266,12,59,31,2110.4049999999997,19
2022-03-12,10,7,8,160,144,19,35,193,80,336,54,505,44,1056,33,113,1250,159,48,72,606,2497,228,16,61,52,2418.4049999999997,67
2022-03-13,9,6,7,146,144,18,35,191,76,325,50,470,40,1009,31,106,1198,156,48,73,615,2456,250,15,72,48,2461.4049999999997,46
2022-03-14,9,6,7,142,144,17,35,191,77,322,47,420,40,945,30,107,1131,148,50,71,624,2410,240,17,69,41,2357.4049999999997,37
2022-03-15,10,6,6,160,144,18,35,191,80,322,44,397,47,931,35,113,1108,159,55,76,693,2392,310,21,77,41,2325.4049999999997,29
2022-03-16,9,6,6,141,126,17,35,175,78,316,42,394,46,916,37,150,1128,165,55,79,693,2410,293,18,75,35,2368.4049999999997,18
2022-03-17,9,6,6,144,116,18,35,164,81,293,42,389,45,887,36,181,1148,159,52,77,696,2462,244,16,72,42,2371.4049999999997,22
2022-03-18,8,5,5,137,117,17,35,162,81,293,41,394,44,882,33,192,1119,155,51,76,710,2474,229,16,72,46,2354.4049999999997,23
2022-03-19,8,5,5,125,116,16,35,162,78,287,39,374,40,850,30,207,1122,149,49,74,754,2453,222,15,66,43,2325.4049999999997,16
2022-03-20,7,5,5,116,102,15,29,143,75,280,36,348,37,803,26,191,1061,148,51,80,844,2610,234,14,61,42,2316.4049999999997,13
2022-03-21,7,5,5,114,89,13,26,124,69,241,33,316,32,731,22,190,1003,139,48,74,800,2465,224,13,55,33,2371.4049999999997,10
2022-03-22,7,5,5,107,89,12,26,124,64,228,31,287,29,661,19,161,896,129,45,72,754,2314,190,12,51,25,2177.4049999999997,9
2022-03-23,7,5,5,110,90,12,26,125,64,226,31,264,28,629,18,142,826,124,44,71,708,2137,182,13,51,26,2035.405,8
2022-03-24,9,6,9,136,91,17,26,129,83,252,37,277,32,652,20,137,800,138,49,74,690,2056,296,16,72,34,2026.405,27
2022-03-25,8,6,10,146,90,34,26,132,125,316,75,357,49,841,28,160,899,142,50,77,682,2015,383,14,68,29,2046.405,18
2022-03-26,7,5,6,141,91,36,26,131,124,310,77,368,46,948,29,155,1128,131,46,72,705,2079,267,13,58,27,2003.405,12
2022-03-27,7,5,6,141,91,33,27,132,124,310,70,348,41,896,28,142,1099,122,43,69,725,2346,223,12,52,26,1997.405,10
2022-03-28,7,5,5,132,91,29,33,136,112,296,66,331,36,850,25,134,1041,114,41,68,687,2306,193,11,48,26,2136.4049999999997,8
2022-03-29,7,5,5,122,92,25,36,139,99,284,58,302,32,789,23,122,974,107,39,66,655,2152,174,10,45,24,2000.405,6
2022-03-30,7,5,5,142,92,25,36,141,97,283,53,277,30,742,21,110,911,103,39,66,621,2053,164,10,43,23,1838.405,6
2022-03-31,6,5,5,247,93,50,37,151,181,351,54,277,33,740,22,105,884,104,40,67,594,1966,174,13,44,24,1759.405,6
2022-04-01,8,5,6,266,132,88,70,213,392,670,73,542,72,1230,58,110,1108,233,53,80,609,1998,438,35,65,30,1890.405,11
