date,kitzmiller,barnum,barton,bloomington,luke,por,monoc_jug,goose,seneca,lfalls
2022-07-13T04:00:00Z,1125,224,4.96,53,293,1115,95,26,102,801.2600000000001
2022-07-13T05:00:00Z,1100,226.25,5.185,53,290,1105,96,26,102,810.2600000000001
2022-07-13T06:00:00Z,1020.75,225.5,5.925,53,293,1089,96,26,88,846.2600000000001
2022-07-13T07:00:00Z,915.75,225.5,6.27,53,291,1080,96,26,75,904.2600000000001
2022-07-13T08:00:00Z,820,224,6.45,53,289.25,1072,97,26,63,924.2600000000001
2022-07-13T09:00:00Z,734.75,225.5,6.45,53,291.25,1063,97,26,54,935.2600000000001
2022-07-13T10:00:00Z,662.5,225.5,6.27,53,289.5,1056,100,26,48,924.2600000000001
2022-07-13T11:00:00Z,596,224.75,6.27,53,291.6666667,1049,106,26,41,904.2600000000001
2022-07-13T12:00:00Z,536,224.75,6.1825,53,290.25,1049,115,26,38,899.2600000000001
2022-07-13T13:00:00Z,484.5,225.5,5.92,53,290.6666667,1049,123,27,35,899.2600000000001
2022-07-13T14:00:00Z,440.5,225.5,5.92,53,289.5,1047,128,27,34,885.2600000000001
2022-07-13T15:00:00Z,401.5,224.75,5.92,53,293,1049,132,27,33,890.2600000000001
2022-07-13T16:00:00Z,372.75,225.5,5.92,53,293,1049,136,27,33,880.2600000000001
2022-07-13T17:00:00Z,346.75,225.75,5.59,53,293,1054,151,27,34,866.2600000000001
2022-07-13T18:00:00Z,322.5,229,5.59,53,289,1070,201,27,34,861.2600000000001
2022-07-13T19:00:00Z,303.75,227,5.5075,53,291,1082,277,27,33,855.2600000000001
2022-07-13T20:00:00Z,285,224.75,5.26,53,289,1093,332,27,32,844.2600000000001
2022-07-13T21:00:00Z,270,224,5.26,53,286,1107,352,27,31,844.2600000000001
2022-07-13T22:00:00Z,254.25,224,5.11,53,286,1119,351,28,31,829.2600000000001
2022-07-13T23:00:00Z,243,224.75,4.96,53,289,1123,340,28,32,820.2600000000001
2022-07-14T00:00:00Z,232.25,224.75,4.96,53,289,1128,325,28,31,805.2600000000001
2022-07-14T01:00:00Z,221,224.75,4.735,53,286,1135,309,28,30,791.2600000000001
2022-07-14T02:00:00Z,212.5,224.75,4.66,53,288,1135,294,28,31,772.2600000000001
