date_time,patuxent,seneca,occoquan
2022-06-01,10.11,3.9,8.99
2022-06-02,10.09,3.9,8.96
2022-06-03,10.07,3.9,8.94
2022-06-04,10.04,3.9,8.92
2022-06-05,10.01,3.9,8.89
2022-06-06,9.98,3.9,8.86
2022-06-07,9.97,3.9,8.84
2022-06-08,9.97,3.9,8.82
2022-06-09,9.96,3.9,8.81
2022-06-10,9.96,3.9,8.81
2022-06-11,9.94,3.9,8.8
2022-06-12,9.92,3.9,8.79
2022-06-13,9.89,3.9,8.77
2022-06-14,9.86,3.9,8.74
2022-06-15,9.83,3.9,8.71
2022-06-16,9.8,3.9,8.67
2022-06-17,9.82,3.9,8.65
2022-06-18,9.85,3.9,8.65
2022-06-19,9.83,3.9,8.66
2022-06-20,9.8,3.9,8.66
2022-06-21,9.77,3.9,8.64
2022-06-22,9.74,3.9,8.61
2022-06-23,9.71,3.9,8.57
2022-06-24,9.68,3.9,8.53
2022-06-25,9.67,3.9,8.49
2022-06-26,9.64,3.9,8.45
2022-06-27,9.61,3.9,8.4
2022-06-28,9.58,3.9,8.36
2022-06-29,9.54,3.9,8.32
2022-06-30,9.5,3.9,8.27
2022-07-01,9.48,3.9,8.21
2022-07-02,9.45,3.9,8.16
2022-07-03,9.43,3.9,8.19
2022-07-04,9.39,3.9,8.19
2022-07-05,9.35,3.9,8.15
2022-07-06,9.32,3.89,8.1
2022-07-07,9.29,3.89,8.04
2022-07-08,9.25,3.89,7.99
2022-07-09,9.21,3.89,7.93
2022-07-10,9.17,3.89,7.87
2022-07-11,9.13,3.89,7.81
2022-07-12,9.08,3.89,7.76
2022-07-13,9.04,3.88,7.72
2022-07-14,9,3.88,7.68
2022-07-15,8.96,3.88,7.64
2022-07-16,8.89,3.88,7.59
2022-07-17,8.81,3.88,7.55
2022-07-18,8.74,3.87,7.51
2022-07-19,8.67,3.87,7.47
2022-07-20,8.59,3.87,7.42
2022-07-21,8.52,3.87,7.38
2022-07-22,8.45,3.82,7.3
2022-07-23,8.38,3.82,7.24
2022-07-24,8.31,3.82,7.23
2022-07-25,8.24,3.8,7.17
2022-07-26,8.16,3.68,7.09
2022-07-27,8.09,3.6,7.01
2022-07-28,8.01,3.59,7
2022-07-29,7.94,3.58,6.94
2022-07-30,7.86,3.52,6.86
2022-07-31,7.78,3.45,6.79
2022-08-01,7.73,3.3,6.72
2022-08-02,7.68,3.09,6.64
2022-08-03,7.64,2.93,6.57
2022-08-04,7.59,2.91,6.5
2022-08-05,7.54,2.91,6.44
2022-08-06,7.49,2.79,6.36
2022-08-07,7.44,2.69,6.29
2022-08-08,7.39,2.69,6.24
2022-08-09,7.35,2.69,6.25
2022-08-10,7.3,2.69,6.19
2022-08-11,7.25,2.69,6.19
2022-08-12,7.2,2.69,6.22
2022-08-13,7.15,2.68,6.24
2022-08-14,7.11,2.68,6.26
2022-08-15,7.06,2.68,6.26
2022-08-16,7.02,2.68,6.27
2022-08-17,6.97,2.67,6.23
2022-08-18,6.93,2.67,6.22
2022-08-19,6.88,2.67,6.24
2022-08-20,6.84,2.66,6.25
2022-08-21,6.79,2.66,6.24
2022-08-22,6.74,2.66,6.2
2022-08-23,6.7,2.66,6.15
2022-08-24,6.65,2.63,6.07
2022-08-25,6.6,2.57,6
2022-08-26,6.56,2.54,5.92
2022-08-27,6.51,2.46,5.85
2022-08-28,6.47,2.45,5.78
2022-08-29,6.43,2.45,5.72
2022-08-30,6.39,2.43,5.65
2022-08-31,6.35,2.43,5.61
2022-09-01,6.3,2.42,5.61
2022-09-02,6.26,2.42,5.58
2022-09-03,6.21,2.42,5.6
2022-09-04,6.16,2.42,5.61
2022-09-05,6.12,2.42,5.58
2022-09-06,6.07,2.42,5.52
2022-09-07,6.02,2.38,5.45
2022-09-08,5.98,2.38,5.4
2022-09-09,5.93,2.37,5.4
2022-09-10,5.89,2.37,5.42
2022-09-11,5.84,2.37,5.44
2022-09-12,5.79,2.33,5.41
2022-09-13,5.76,2.28,5.35
2022-09-14,5.72,2.28,5.35
2022-09-15,5.68,2.28,5.37
2022-09-16,5.63,2.28,5.39
2022-09-17,5.6,2.28,5.41
2022-09-18,5.56,2.28,5.43
2022-09-19,5.51,2.28,5.4
2022-09-20,5.47,2.28,5.36
2022-09-21,5.42,2.22,5.28
2022-09-22,5.38,2.17,5.21
2022-09-23,5.33,2.17,5.13
2022-09-24,5.28,2.16,5.07
2022-09-25,5.24,2.16,5.04
2022-09-26,5.19,2.16,4.99
2022-09-27,5.14,2.16,4.95
2022-09-28,5.09,2.15,4.88
2022-10-01,4.95,2.14,4.86
2022-10-02,4.9,2.14,4.88
2022-09-29,5.05,2.14,4.87
2022-09-30,5,2.14,4.84
2022-10-03,4.86,2.14,4.89
2022-10-04,4.81,2.13,4.91
2022-10-05,4.77,2.13,4.89
2022-10-06,4.72,2.12,4.85
2022-10-07,4.67,2.11,4.83
2022-10-08,4.63,2.11,4.81
2022-10-09,4.58,2.11,4.78
2022-10-10,4.54,2.11,4.75
2022-10-11,4.49,2.11,4.73
2022-10-12,4.45,2.11,4.71
2022-10-13,4.4,2.11,4.68
2022-10-14,4.36,2.1,4.65
2022-10-15,4.31,2.1,4.62
2022-10-16,4.27,2.1,4.59
2022-10-17,4.22,2.06,4.54
2022-10-18,4.18,2.06,4.51
2022-10-19,4.14,2.05,4.45
2022-10-20,4.09,2.04,4.4
