date,kitzmiller,barnum,barton,bloomington,luke,por,monoc_jug,goose,seneca,lfalls
2022-07-13 0:00,1125,224,4.96,53,293,3505,300,82.8,322.1666667,4020
2022-07-13 1:00,1100,226.25,5.185,53,290,3475,302,82.8,320,4050
2022-07-13 2:00,1020.75,225.5,5.925,53,293,3425,302,81.375,277.75,4162.5
2022-07-13 3:00,915.75,225.5,6.27,53,291,3395,302,80.9,235.9166667,4345
2022-07-13 4:00,820,224,6.45,53,289.25,3372.5,304.25,80.9,198.75,4407.5
2022-07-13 5:00,734.75,225.5,6.45,53,291.25,3342.5,306,80.9,171.3333333,4442.5
2022-07-13 6:00,662.5,225.5,6.27,53,289.5,3320,314.25,80.9,149.75,4407.5
2022-07-13 7:00,596,224.75,6.27,53,291.6666667,3300,334,80.9,130.5,4345
2022-07-13 8:00,536,224.75,6.1825,53,290.25,3300,362.5,82.8,119.5,4330
2022-07-13 9:00,484.5,225.5,5.92,53,290.6666667,3300,385.75,84.3,111.5,4330
2022-07-13 10:00,440.5,225.5,5.92,53,289.5,3292.5,403.75,84.8,105.4166667,4285
2022-07-13 11:00,401.5,224.75,5.92,53,293,3300,414.75,84.8,104,4300
2022-07-13 12:00,372.75,225.5,5.92,53,293,3300,427.75,84.8,102.5,4270
2022-07-13 13:00,346.75,225.75,5.59,53,293,3315,475.75,84.8,105.4166667,4225
2022-07-13 14:00,322.5,229,5.59,53,289,3365,633.25,84.8,106.4166667,4210
2022-07-13 15:00,303.75,227,5.5075,53,291,3402.5,870.25,84.8,102.8333333,4192.5
2022-07-13 16:00,285,224.75,5.26,53,289,3437.5,1045,84.8,100.4916667,4157.5
2022-07-13 17:00,270,224,5.26,53,286,3482.5,1107.5,85.8,96.325,4157.5
2022-07-13 18:00,254.25,224,5.11,53,286,3520,1105,86.8,98.775,4110
2022-07-13 19:00,243,224.75,4.96,53,289,3530,1070,86.8,99.975,4080
2022-07-13 20:00,232.25,224.75,4.96,53,289,3547.5,1022.5,86.8,95.95,4035
2022-07-13 21:00,221,224.75,4.735,53,286,3570,971.25,86.8,94.825,3990
2022-07-13 22:00,212.5,224.75,4.66,53,288,3570,923.75,86.8,97.53333333,3930
2022-07-13 23:00,203,225.5,4.66,53,286,3570,876.75,86.8,96.25,3915
2022-07-14 0:00,194.5,224.75,4.66,53,289,3570,837,86.8,98.925,3885
2022-07-14 1:00,186.25,225.5,4.66,53,289,3585,799,86.8,100.1666667,4475
2022-07-14 2:00,179.25,224,4.66,53,290.6666667,3607.5,761.5,86.8,100,4632.5
2022-07-14 3:00,172.5,226.25,4.45,53,290.6666667,3630,728,86.8,98.94166667,4487.5
2022-07-14 4:00,166.25,224.75,4.38,53,286,3652.5,694,88.8,94.125,4237.5
2022-07-14 5:00,160,224.75,4.38,53,287.5,3695,664,88.8,93.775,4050
2022-07-14 6:00,155,225.5,4.38,53,293,3740,639,88.8,91.01666667,3975
2022-07-14 7:00,151,224,4.38,53,289.3333333,3785,612,89.85,84.94166667,3915
2022-07-14 8:00,149.5,224,4.38,53,288.3333333,3815,591.5,92.9,80.35,3885
2022-07-14 9:00,146.75,225.5,4.38,53,293,3845,571.5,92.4,77.41666667,3840
2022-07-14 10:00,144.5,226.25,4.31,53,291,3865,551.5,89.325,75.625,3780
2022-07-14 11:00,141.25,224.75,4.1,53,293,3902.5,536.5,88.8,74.575,3780
2022-07-14 12:00,138,225.5,4.1,53,291.6666667,3902.5,521.75,88.8,73.875,3750
2022-07-14 13:00,134.25,227.25,4.1,53,286,3880,508.75,87.8,78.33333333,3780
2022-07-14 14:00,130.5,229,4.1,53,290.3333333,3865,495,86.8,81.81666667,3795
2022-07-14 15:00,127.5,226.25,4.1,53,289,3857.5,482.5,85.3,83.1,3840
2022-07-14 16:00,124.5,226.25,4.1,53,287.5,3835,470.25,83.3,81.26666667,3900
2022-07-14 17:00,120,224,3.905,53,290,3830,458.5,81.85,78.7,3990
2022-07-14 18:00,118,226.25,3.84,53,289,3792.5,449,80.9,81.4,4050
2022-07-14 19:00,115.5,224,3.84,53,289,3770,438.25,79,76.5,4110
2022-07-14 20:00,112.5,225.5,3.72,53,289,3732.5,426.5,79,77.2,4140
2022-07-14 21:00,110.5,224,3.6,53,289,3710,417,78.05,76.10833333,4210
2022-07-14 22:00,108.5,224.75,3.6,53,288.25,3680,408,77.1,74.30833333,4210
2022-07-14 23:00,106.5,224.75,3.6,53,290,3645,399,75.3,78.44166667,4270
2022-07-15 0:00,104.5,224.75,3.6,53,289,3592.5,393,74.4,78.78333333,4285
2022-07-15 1:00,103,224.75,3.6,53,290,3562.5,386.5,73.5,77.2,4330
2022-07-15 2:00,102.5,224.75,3.6,53,290,3535,379,73.5,78.6,4300
2022-07-15 3:00,101,224.75,3.6,53,291,3505,374,73.5,80.43333333,4330
2022-07-15 4:00,100.1,224.75,3.6,53,289,3482.5,366,73.5,77.55,4330
2022-07-15 5:00,99.2,224,3.6,53,290,3460,362,73.5,74.5,4330
2022-07-15 6:00,97.775,226.25,3.6,53,292,3430,357,70.85,69.825,4300
2022-07-15 7:00,96.85,224.75,3.6,53,291,3415,353,70,66.1,4270
2022-07-15 8:00,95.5,224.75,3.6,53,289,3410,349,70,63.30833333,4235
2022-07-15 9:00,94.55,224.75,3.6,53,290,3387.5,344,70,60.775,4200
2022-07-15 10:00,93.15,225.5,3.6,53,289,3380,339,70,59.03333333,4155
2022-07-15 11:00,91.8,224.75,3.6,53,291,3380,336,68.3,64.54166667,4155
2022-07-15 12:00,90.45,224,3.6,53,291.6666667,3380,331,66.6,63.83333333,4110
2022-07-15 13:00,89.1,225.75,3.36,53,290,3380,329,66.6,79.86666667,4095
2022-07-15 14:00,88.2,228,3.36,53,289,3380,325,66.6,71.9,4080
2022-07-15 15:00,86.925,226.25,3.36,53,290,3380,323,66.6,74.125,4080
2022-07-15 16:00,86.05,224.75,3.36,53,290.3333333,3380,319,66.6,74.3,4065
2022-07-15 17:00,84.7,224,3.13,53,289,3342.5,316,66.6,74.125,4065
2022-07-15 18:00,83.85,224,3.13,53,289,3315,313,66.6,70.275,4020
2022-07-15 19:00,83,224,3.13,53,289,3292.5,310,66.6,72.2,4005
2022-07-15 20:00,81.3,224.75,3.13,53,290,3255,308,66.6,70.625,3960
2022-07-15 21:00,81.3,224.75,3.13,53,291,3217.5,305,66.6,68.93333333,3915
2022-07-15 22:00,79.7,224.75,2.9725,53,292,3175,301,67.025,66.1,3870
2022-07-15 23:00,79.7,224.75,2.92,53,290,3145,297,68.3,68.775,3855
2022-07-16 0:00,78,224.75,2.92,53,291.6666667,3110,294.75,68.3,70.975,3840
2022-07-16 1:00,78,225.5,2.92,53,292,3080,293,68.3,73.075,3780
2022-07-16 2:00,76.8,226.25,2.92,53,291,3045,289.25,67.875,72.375,3750
2022-07-16 3:00,76.4,225.5,2.92,53,292,3030,287,66.6,72.2,3720
2022-07-16 4:00,75.6,224,2.92,53,292,3000,284,66.6,69.1,3675
2022-07-16 5:00,74.8,224.75,2.92,53,293,2972.5,284,66.6,67.1,3647.5
2022-07-16 6:00,74.8,225.5,3.0775,53,291,2950,281,66.6,66.93333333,3610
2022-07-16 7:00,74.8,226.25,3.13,53,293,2940,277.5,65.325,63.93333333,3565
2022-07-16 8:00,74.4,224,3.13,53,293,2930,275,64.9,59.60833333,3550
2022-07-16 9:00,73.2,224.75,3.13,53,293,2930,271.25,64.5,56.81666667,3535
2022-07-16 10:00,73.2,225.5,3.13,53,292,2915,268,63.3,54.7,3520
2022-07-16 11:00,73.2,224,3.13,53,293,2900,265,63.3,54.55,3505
2022-07-16 12:00,72.4,224.75,3.13,53,292,2900,262.75,63.3,55.15,3490
2022-07-16 13:00,71.6,225.75,3.13,53,291.6666667,2900,262.75,63.3,57.55,3460
2022-07-16 14:00,71.6,228,3.13,53,292,2907.5,264.25,63.3,61.49166667,3445
2022-07-16 15:00,71.6,226.25,3.13,53,293,2930,262,62.9,68.26666667,3430
2022-07-16 16:00,70.475,224.75,3.13,53,292,2930,265,61.7,72.2,3417.5
2022-07-16 17:00,70.1,225.5,3.13,53,293,2935,271.5,61.7,72.725,3380
2022-07-16 18:00,70.1,224.75,3.13,53,291.6666667,2950,281,60.5,70.275,3392.5
2022-07-16 19:00,68.9,224,3.13,53,293,2945,284.5,60.1,72.025,3617.5
2022-07-16 20:00,68.5,224,3.13,53,293,2945,283.75,60.1,69.6,3750
2022-07-16 21:00,68.6,224,3.0775,53,291,2940,281,60.1,70.125,3960
2022-07-16 22:00,68.6,228,2.92,53.225,292.6666667,2945,277.5,60.1,70.975,3765
2022-07-16 23:00,68.6,226.25,2.92,53,296.75,2950,276,60.1,72.025,3547.5
2022-07-17 0:00,68.6,224.75,2.92,53,295.25,2950,272,60.1,70.475,3445
2022-07-17 1:00,68.6,225.5,2.92,53,296,2915,269,60.1,68.08333333,3380
2022-07-17 2:00,68.6,224.75,2.92,53,292,2865,272,60.5,71.15,3365
2022-07-17 3:00,68.6,226.25,2.92,53,291.6666667,2835,274,62.9,66.875,3295
2022-07-17 4:00,68.6,224,2.92,53,291.6666667,2830,276,65.35,69.76666667,3255
2022-07-17 5:00,69.35,224.75,2.92,53,293,2830,279,69.575,68.925,3210
2022-07-17 6:00,70.1,224.75,2.92,53,289,2850,279,74.85,64.73333333,3172.5
2022-07-17 7:00,70.1,224.75,2.92,53,290,2850,279,80.425,62.6,3160
2022-07-17 8:00,70.1,224,2.92,53,294.5,2850,279,86.8,59.09166667,3145
2022-07-17 9:00,70.1,224,3.0775,53,292,2850,279,88.8,56.65,3160
