"","DateTime","site","flow"
"1","2019-10-30 00:00:00","FW",82.31
"2","2019-10-30 01:00:00","FW",82.31
"3","2019-10-30 02:00:00","FW",82.31
"4","2019-10-30 03:00:00","FW",82.31
"5","2019-10-30 04:00:00","FW",82.31
"6","2019-10-30 05:00:00","FW",82.31
"7","2019-10-30 06:00:00","FW",82.31
"8","2019-10-30 07:00:00","FW",82.31
"9","2019-10-30 08:00:00","FW",82.31
"10","2019-10-30 09:00:00","FW",82.31
"11","2019-10-30 10:00:00","FW",82.31
"12","2019-10-30 11:00:00","FW",82.31
"13","2019-10-30 12:00:00","FW",82.31
"14","2019-10-30 13:00:00","FW",82.31
"15","2019-10-30 14:00:00","FW",82.31
"16","2019-10-30 15:00:00","FW",82.31
"17","2019-10-30 16:00:00","FW",82.31
"18","2019-10-30 17:00:00","FW",82.31
"19","2019-10-30 18:00:00","FW",82.31
"20","2019-10-30 19:00:00","FW",82.31
"21","2019-10-30 20:00:00","FW",82.31
"22","2019-10-30 21:00:00","FW",82.31
"23","2019-10-30 22:00:00","FW",82.31
"24","2019-10-30 23:00:00","FW",82.31
"25","2019-10-31 00:00:00","FW",83.27
"26","2019-10-31 01:00:00","FW",83.27
"27","2019-10-31 02:00:00","FW",83.27
"28","2019-10-31 03:00:00","FW",83.27
"29","2019-10-31 04:00:00","FW",83.27
"30","2019-10-31 05:00:00","FW",83.27
"31","2019-10-31 06:00:00","FW",83.27
"32","2019-10-31 07:00:00","FW",83.27
"33","2019-10-31 08:00:00","FW",83.27
"34","2019-10-31 09:00:00","FW",83.27
"35","2019-10-31 10:00:00","FW",83.27
"36","2019-10-31 11:00:00","FW",83.27
"37","2019-10-31 12:00:00","FW",83.27
"38","2019-10-31 13:00:00","FW",83.27
"39","2019-10-31 14:00:00","FW",83.27
"40","2019-10-31 15:00:00","FW",83.27
"41","2019-10-31 16:00:00","FW",83.27
"42","2019-10-31 17:00:00","FW",83.27
"43","2019-10-31 18:00:00","FW",83.27
"44","2019-10-31 19:00:00","FW",83.27
"45","2019-10-31 20:00:00","FW",83.27
"46","2019-10-31 21:00:00","FW",83.27
"47","2019-10-31 22:00:00","FW",83.27
"48","2019-10-31 23:00:00","FW",83.27
"49","2019-11-01 00:00:00","FW",78.22
"50","2019-11-01 01:00:00","FW",78.22
"51","2019-11-01 02:00:00","FW",78.22
"52","2019-11-01 03:00:00","FW",78.22
"53","2019-11-01 04:00:00","FW",78.22
"54","2019-11-01 05:00:00","FW",78.22
"55","2019-11-01 06:00:00","FW",78.22
"56","2019-11-01 07:00:00","FW",78.22
"57","2019-11-01 08:00:00","FW",78.22
"58","2019-11-01 09:00:00","FW",78.22
"59","2019-11-01 10:00:00","FW",78.22
"60","2019-11-01 11:00:00","FW",78.22
"61","2019-11-01 12:00:00","FW",78.22
"62","2019-11-01 13:00:00","FW",78.22
"63","2019-11-01 14:00:00","FW",78.22
"64","2019-11-01 15:00:00","FW",78.22
"65","2019-11-01 16:00:00","FW",78.22
"66","2019-11-01 17:00:00","FW",78.22
"67","2019-11-01 18:00:00","FW",78.22
"68","2019-11-01 19:00:00","FW",78.22
"69","2019-11-01 20:00:00","FW",78.22
"70","2019-11-01 21:00:00","FW",78.22
"71","2019-11-01 22:00:00","FW",78.22
"72","2019-11-01 23:00:00","FW",78.22
"73","2019-11-02 00:00:00","FW",72.54
"74","2019-11-02 01:00:00","FW",72.54
"75","2019-11-02 02:00:00","FW",72.54
"76","2019-11-02 03:00:00","FW",72.54
"77","2019-11-02 04:00:00","FW",72.54
"78","2019-11-02 05:00:00","FW",72.54
"79","2019-11-02 06:00:00","FW",72.54
"80","2019-11-02 07:00:00","FW",72.54
"81","2019-11-02 08:00:00","FW",72.54
"82","2019-11-02 09:00:00","FW",72.54
"83","2019-11-02 10:00:00","FW",72.54
"84","2019-11-02 11:00:00","FW",72.54
"85","2019-11-02 12:00:00","FW",72.54
"86","2019-11-02 13:00:00","FW",72.54
"87","2019-11-02 14:00:00","FW",72.54
"88","2019-11-02 15:00:00","FW",72.54
"89","2019-11-02 16:00:00","FW",72.54
"90","2019-11-02 17:00:00","FW",72.54
"91","2019-11-02 18:00:00","FW",72.54
"92","2019-11-02 19:00:00","FW",72.54
"93","2019-11-02 20:00:00","FW",72.54
"94","2019-11-02 21:00:00","FW",72.54
"95","2019-11-02 22:00:00","FW",72.54
"96","2019-11-02 23:00:00","FW",72.54
"97","2019-11-03 00:00:00","FW",74.78
"98","2019-11-03 01:00:00","FW",74.78
"99","2019-11-03 02:00:00","FW",74.78
"100","2019-11-03 03:00:00","FW",74.78
"101","2019-11-03 04:00:00","FW",74.78
"102","2019-11-03 05:00:00","FW",74.78
"103","2019-11-03 06:00:00","FW",74.78
"104","2019-11-03 07:00:00","FW",74.78
"105","2019-11-03 08:00:00","FW",74.78
"106","2019-11-03 09:00:00","FW",74.78
"107","2019-11-03 10:00:00","FW",74.78
"108","2019-11-03 11:00:00","FW",74.78
"109","2019-11-03 12:00:00","FW",74.78
"110","2019-11-03 13:00:00","FW",74.78
"111","2019-11-03 14:00:00","FW",74.78
"112","2019-11-03 15:00:00","FW",74.78
"113","2019-11-03 16:00:00","FW",74.78
"114","2019-11-03 17:00:00","FW",74.78
"115","2019-11-03 18:00:00","FW",74.78
"116","2019-11-03 19:00:00","FW",74.78
"117","2019-11-03 20:00:00","FW",74.78
"118","2019-11-03 21:00:00","FW",74.78
"119","2019-11-03 22:00:00","FW",74.78
"120","2019-11-04 00:00:00","FW",79.73
"121","2019-11-04 01:00:00","FW",79.73
"122","2019-11-04 02:00:00","FW",79.73
"123","2019-11-04 03:00:00","FW",79.73
"124","2019-11-04 04:00:00","FW",79.73
"125","2019-11-04 05:00:00","FW",79.73
"126","2019-11-04 06:00:00","FW",79.73
"127","2019-11-04 07:00:00","FW",79.73
"128","2019-11-04 08:00:00","FW",79.73
"129","2019-11-04 09:00:00","FW",79.73
"130","2019-11-04 10:00:00","FW",79.73
"131","2019-11-04 11:00:00","FW",79.73
"132","2019-11-04 12:00:00","FW",79.73
"133","2019-11-04 13:00:00","FW",79.73
"134","2019-11-04 14:00:00","FW",79.73
"135","2019-11-04 15:00:00","FW",79.73
"136","2019-11-04 16:00:00","FW",79.73
"137","2019-11-04 17:00:00","FW",79.73
"138","2019-11-04 18:00:00","FW",79.73
"139","2019-11-04 19:00:00","FW",79.73
"140","2019-11-04 20:00:00","FW",79.73
"141","2019-11-04 21:00:00","FW",79.73
"142","2019-11-04 22:00:00","FW",79.73
"143","2019-11-04 23:00:00","FW",79.73
"144","2019-11-05 00:00:00","FW",88.28
"145","2019-11-05 01:00:00","FW",88.28
"146","2019-11-05 02:00:00","FW",88.28
"147","2019-11-05 03:00:00","FW",88.28
"148","2019-11-05 04:00:00","FW",88.28
"149","2019-11-05 05:00:00","FW",88.28
"150","2019-11-05 06:00:00","FW",88.28
"151","2019-11-05 07:00:00","FW",88.28
"152","2019-11-05 08:00:00","FW",88.28
"153","2019-11-05 09:00:00","FW",88.28
"154","2019-11-05 10:00:00","FW",88.28
"155","2019-11-05 11:00:00","FW",88.28
"156","2019-11-05 12:00:00","FW",88.28
"157","2019-11-05 13:00:00","FW",88.28
"158","2019-11-05 14:00:00","FW",88.28
"159","2019-11-05 15:00:00","FW",88.28
"160","2019-11-05 16:00:00","FW",88.28
"161","2019-11-05 17:00:00","FW",88.28
"162","2019-11-05 18:00:00","FW",88.28
"163","2019-11-05 19:00:00","FW",88.28
"164","2019-11-05 20:00:00","FW",88.28
"165","2019-11-05 21:00:00","FW",88.28
"166","2019-11-05 22:00:00","FW",88.28
"167","2019-11-05 23:00:00","FW",88.28
"168","2019-11-06 00:00:00","FW",74.46
"169","2019-11-06 01:00:00","FW",74.46
"170","2019-11-06 02:00:00","FW",74.46
"171","2019-11-06 03:00:00","FW",74.46
"172","2019-11-06 04:00:00","FW",74.46
"173","2019-11-06 05:00:00","FW",74.46
"174","2019-11-06 06:00:00","FW",74.46
"175","2019-11-06 07:00:00","FW",74.46
"176","2019-11-06 08:00:00","FW",74.46
"177","2019-11-06 09:00:00","FW",74.46
"178","2019-11-06 10:00:00","FW",74.46
"179","2019-11-06 11:00:00","FW",74.46
"180","2019-11-06 12:00:00","FW",74.46
"181","2019-11-06 13:00:00","FW",74.46
"182","2019-11-06 14:00:00","FW",74.46
"183","2019-11-06 15:00:00","FW",74.46
"184","2019-11-06 16:00:00","FW",74.46
"185","2019-11-06 17:00:00","FW",74.46
"186","2019-11-06 18:00:00","FW",74.46
"187","2019-11-06 19:00:00","FW",74.46
"188","2019-11-06 20:00:00","FW",74.46
"189","2019-11-06 21:00:00","FW",74.46
"190","2019-11-06 22:00:00","FW",74.46
"191","2019-11-06 23:00:00","FW",74.46
"192","2019-11-07 00:00:00","FW",72.44
"193","2019-11-07 01:00:00","FW",72.44
"194","2019-11-07 02:00:00","FW",72.44
"195","2019-11-07 03:00:00","FW",72.44
"196","2019-11-07 04:00:00","FW",72.44
"197","2019-11-07 05:00:00","FW",72.44
"198","2019-11-07 06:00:00","FW",72.44
"199","2019-11-07 07:00:00","FW",72.44
"200","2019-11-07 08:00:00","FW",72.44
"201","2019-11-07 09:00:00","FW",72.44
"202","2019-11-07 10:00:00","FW",72.44
"203","2019-11-07 11:00:00","FW",72.44
"204","2019-11-07 12:00:00","FW",72.44
"205","2019-11-07 13:00:00","FW",72.44
"206","2019-11-07 14:00:00","FW",72.44
"207","2019-11-07 15:00:00","FW",72.44
"208","2019-11-07 16:00:00","FW",72.44
"209","2019-11-07 17:00:00","FW",72.44
"210","2019-11-07 18:00:00","FW",72.44
"211","2019-11-07 19:00:00","FW",72.44
"212","2019-11-07 20:00:00","FW",72.44
"213","2019-11-07 21:00:00","FW",72.44
"214","2019-11-07 22:00:00","FW",72.44
"215","2019-11-07 23:00:00","FW",72.44
"216","2019-11-08 00:00:00","FW",70.32
"217","2019-11-08 01:00:00","FW",70.32
"218","2019-11-08 02:00:00","FW",70.32
"219","2019-11-08 03:00:00","FW",70.32
"220","2019-11-08 04:00:00","FW",70.32
"221","2019-11-08 05:00:00","FW",70.32
"222","2019-11-08 06:00:00","FW",70.32
"223","2019-11-08 07:00:00","FW",70.32
"224","2019-11-08 08:00:00","FW",70.32
"225","2019-11-08 09:00:00","FW",70.32
"226","2019-11-08 10:00:00","FW",70.32
"227","2019-11-08 11:00:00","FW",70.32
"228","2019-11-08 12:00:00","FW",70.32
"229","2019-11-08 13:00:00","FW",70.32
"230","2019-11-08 14:00:00","FW",70.32
