date_time,unity,cattail,hawlings,kitzmiller,barnum,barton,bloomington,luke,wills,nbp_cumb,patterson,sbr,town,pawpaw,sideling,cacapon,hancock,conoco,opequon,antietam,shen_mill,por,monoc_jug,bennett,goose,seneca,lfalls,cedar
2022-01-01,27.7,22.2,22.8,1580,634,433,441,1190,1150,2130,75.8,435,67.6,2130,39.9,128,2090,234,97.4,177,880,3470,420,43.4,99.8,121,3370,20.6
2022-01-02,63.6,36.3,81.8,3920,1300,853,724,2290,2950,6040,406,852,999,7860,706,211,5740,739,176,264,927,4510,1950,105,254,398,5320,53.2
2022-01-03,35,22.9,31.6,1850,2220,359,825,3270,1530,5020,289,1730,480,8240,335,431,9440,803,189,248,997,9470,1640,56.9,236,218,7380,62.9
2022-01-04,28,19.1,23.9,1170,2660,213,818,3660,924,5010,216,1440,283,7650,177,426,8330,561,149,200,1100,14000,881,43.9,210,147,13800,111
2022-01-05,25.4,18.1,19.7,926,2240,141,762,3220,674,4590,170,1070,206,6680,122,326,7380,454,127,190,1140,12200,669,39.6,162,109,13600,84.9
2022-01-06,24.2,17.6,18.3,767,1500,104,618,2230,526,3210,135,875,170,5290,99.3,267,6330,402,117,185,1130,10700,622,37.2,142,98.9,12000,88.4
2022-01-07,24.3,17.8,18.4,681,1490,80.9,534,2100,432,2810,116,788,149,4320,83.9,247,4940,379,115,188,1170,9460,575,37.9,142,96.8,10800,117
2022-01-08,21.9,16.4,16.7,561,1490,69.7,528,2080,322,2570,88.8,699,111,3830,56.5,222,4350,315,106,182,1150,7770,503,33.9,120,89.2,9440,74.6
2022-01-09,24.1,18.4,21.1,1220,1480,79.8,524,2090,319,2550,75.6,595,108,3600,51.3,192,3950,295,102,178,1140,6970,454,34.5,138,95.1,8130,130
2022-01-10,32.3,23.5,33.9,1650,1480,105,440,2000,387,2720,86.8,887,102,3660,41.7,174,3790,327,108,181,1180,6530,594,50.3,192,146,7930,232
2022-01-11,24.7,18.1,20.5,925,1480,90.7,400,1930,310,2430,106,2110,97.6,4990,37.4,164,4400,277,124,176,1330,6460,604,39.5,178,99.8,7240,99.2
2022-01-12,24.4,17.2,18,764,1160,91.5,400,1630,311,2290,101,1570,122,4610,29.1,186,5030,250,115,179,1450,6820,524,40.8,148,88.9,6950,64.1
