date,kitzmiller,barnum,barton,bloomington,luke,por,monoc_jug,goose,seneca,lfalls
2022-07-10 00:00:00,86.2,242,5.26,53.9,320,3600,524,120,137,5120
2022-07-10 01:00:00,87.55,242,5.59,53.9,318,3585,524,124.75,134.91666666666666,5102.5
2022-07-10 02:00:00,88,242,5.59,53.9,318,3535,525.25,129.75,131.83333333333334,5050
2022-07-10 03:00:00,89.7,242,5.425,53.9,319,3505,529,132,124.25,5015
2022-07-10 04:00:00,91.5,242,5.342499999999999,53.9,319,3467.5,529,133.5,121.75,4965
2022-07-10 05:00:00,92.92500000000001,242,5.26,53.9,320,3425,525.25,135,116.5,4920
2022-07-10 06:00:00,93.85000000000001,242,5.26,53.9,318,3402.5,524,135,108.08333333333333,4902.5
2022-07-10 07:00:00,95.2,242,5.26,53.9,321,3380,524,134.25,101.75,4815
2022-07-10 08:00:00,96.625,242,5.26,53.9,321,3350,524,132,96.95,4780
2022-07-10 09:00:00,98.05,242,5.26,53.9,318,3350,531.5,132,92.925,4750
2022-07-10 10:00:00,99,242,5.26,53.9,320,3350,545.25,132,90.125,4667.5
2022-07-10 11:00:00,99.5,242,5.26,53.9,318,3350,560.25,132,88.26666666666667,4620
2022-07-10 12:00:00,101,242,5.26,53.9,319,3350,572.75,129,87.5,4590
2022-07-10 13:00:00,101,242.75,5.26,53.9,321,3380,579,129,88.2,4590
2022-07-10 14:00:00,101,245,5.26,53.9,322,3380,579,129,89.6,4572.5
2022-07-10 15:00:00,101,242,5.26,53.9,320,3410,575.25,129,94.48333333333333,4555
2022-07-10 16:00:00,99,241,5.035,53.9,322,3425,570.25,129,97.275,4520
2022-07-10 17:00:00,99,241,4.96,53.9,321,3445,565.25,129,95.9,4520
2022-07-10 18:00:00,98.525,241,4.96,53.9,322,3482.5,557.75,129,96.59166666666667,4475
2022-07-10 19:00:00,97.1,241,4.96,53.9,320,3520,551.5,129,94.98333333333333,4445
2022-07-10 20:00:00,95.675,241,4.96,53.9,323,3535,544,129,94.43333333333334,4415
2022-07-10 21:00:00,95.2,241,4.96,53.9,320,3562.5,535.25,129,91.83333333333333,4365
2022-07-10 22:00:00,93.85000000000001,241,4.96,53.9,322,3570,526.5,129,89.07499999999999,4330
2022-07-10 23:00:00,92.95,241,4.96,53.9,320,3570,520.25,129,85.59166666666667,4285
2022-07-11 00:00:00,91.6,241,4.96,53.9,321,3562.5,513.75,127,87.35833333333333,4225
2022-07-11 01:00:00,90.25,241,4.96,53.9,321,3570,507.5,127,89.6,4225
2022-07-11 02:00:00,88.9,241,4.96,53.9,321,3540,497.5,124.75,89.25,4180
2022-07-11 03:00:00,88,241,4.735,53.9,320,3525,490,121.75,87.5,4120
2022-07-11 04:00:00,86.3,241,4.66,53.9,321,3520,480,120.5,86.5,4090
2022-07-11 05:00:00,85.4,241,4.66,53.9,320,3490,472,117.5,83.6,4072.5
2022-07-11 06:00:00,84.5,241,4.66,53.9,321,3490,463.5,116,79.16666666666666,4020
2022-07-11 07:00:00,82.8,241,4.66,53.9,322,3460,456,113.25,74.675,4020
2022-07-11 08:00:00,81.1,241,4.66,53.9,322,3460,448,110.5,71,4005
2022-07-11 09:00:00,80.3,241,4.66,53.9,320,3460,439.5,109,68.46666666666667,3975
2022-07-11 10:00:00,79.075,241,4.66,53.9,322,3460,431.75,107.5,66.2,3960
2022-07-11 11:00:00,77.8,241,4.66,53.9,321,3460,425,105.5,66.55,3960
2022-07-11 12:00:00,76.2,241,4.59,53.9,320,3482.5,418,104,69.98333333333333,3930
2022-07-11 13:00:00,74.6,242,4.38,53.9,320,3490,413.75,100.05000000000001,73.8,3945
2022-07-11 14:00:00,73.4,245,4.38,53.45,320,3497.5,413.75,97.2,79.35,3960
2022-07-11 15:00:00,72.6,241,4.38,53.225,320,3505,415,97.2,81,3900
2022-07-11 16:00:00,71.4,241,4.38,53,320,3520,413.75,97.2,80.81666666666666,3945
2022-07-11 17:00:00,69.9,241,4.1,53,319,3520,406,95.1,79.16666666666666,3930
2022-07-11 18:00:00,68.7,241,4.1,53.675,318.6666666666667,3520,396.5,94.55,79.9,3915
2022-07-11 19:00:00,68.3,241,4.1,53.9,321,3520,384.75,92.9,77.71666666666667,3960
2022-07-11 20:00:00,67.175,241,4.1,53.675,322,3530,378,92.4,77.51666666666667,3945
2022-07-11 21:00:00,66.8,240.25,4.1,53.45,320,3535,373,89.325,78.8,3945
2022-07-11 22:00:00,65.725,240.25,4.1,53,320,3525,367,88.8,76.07499999999999,3915
2022-07-11 23:00:00,65.4,241,4.1,53,320,3525,361,88.8,75.38333333333333,3930
2022-07-12 00:00:00,63.9,241,4.1,53,321,3525,354,88.8,78.8,3915
2022-07-12 01:00:00,63.15,240.25,4.1,53,322,3525,349,87.3,78.8,3915
2022-07-12 02:00:00,62.4,240.25,4.1,53,324,3520,345,86.8,81,3900
2022-07-12 03:00:00,62.05,241,4.1,53,322.6666666666667,3520,341,85.3,80.81666666666666,3855
2022-07-12 04:00:00,61,241,4.1,53,324,3512.5,335,83.3,76.23333333333333,3825
2022-07-12 05:00:00,61,241,4.1,53,322.6666666666667,3490,332,82.8,74.76666666666667,3780
2022-07-12 06:00:00,60.3,241,4.1,53,324,3512.5,328,81.85,73.35,3780
2022-07-12 07:00:00,59.6,241,4.1,53,323,3520,324.75,80.9,69.08333333333333,3767.5
2022-07-12 08:00:00,59.6,241,4.1,53,320,3530,322,80.42500000000001,64.21666666666667,3730
2022-07-12 09:00:00,59.6,241,3.905,53,324,3555,320,79,62.3,3742.5
2022-07-12 10:00:00,58.900000000000006,241,3.84,53,322,3592.5,321,79,60.4,3730
2022-07-12 11:00:00,58.2,241,3.84,53,321,3637.5,325.5,79,60.55833333333333,3715
2022-07-12 12:00:00,58.2,241,3.84,53,322.6666666666667,3670,330,77.57499999999999,63.90833333333333,3720
2022-07-12 13:00:00,58.2,241.5,3.84,53,323,3680,335,77.1,68.56666666666666,3682.5
2022-07-12 14:00:00,56.9,243,3.84,53,321,3710,335,76.19999999999999,73.71666666666667,3695
2022-07-12 15:00:00,56.9,240.25,4.035,53.45,320,3710,331,75.3,74.23333333333333,3720
2022-07-12 16:00:00,56.9,228,3.905,53.675,330,3695,331,73.95,70.96666666666667,3720
2022-07-12 17:00:00,56.9,224.75,3.905,53,321,3687.5,325.5,74.4,70.96666666666667,3780
2022-07-12 18:00:00,57.55,225.5,4.1,53,319,3670,318.25,77.57499999999999,80.025,3917.5
2022-07-12 19:00:00,59.25,225.5,4.1,53,287,3645,308,79,88.15,3960
2022-07-12 20:00:00,61.375,224.75,4.38,53,290.25,3615,301,79.95,103.30833333333334,3945
2022-07-12 21:00:00,64.675,225.5,4.38,53,292,3600,297,80.9,172.5,3960
2022-07-12 22:00:00,72.7,224,4.66,53,293,3585,294,82.8,160.25,3930
2022-07-12 23:00:00,832.25,225.5,4.735,53,290.6666666666667,3555,295,82.8,179.66666666666666,4005
2022-07-13 00:00:00,1122.5,224,4.96,53,291.25,3517.5,299,82.8,303,4020
2022-07-13 01:00:00,1100,226.25,5.185,53,290,3475,302,82.8,320,4050
2022-07-13 02:00:00,1020.75,225.5,5.925,53,293,3425,302,81.375,277.75,4162.5
2022-07-13 03:00:00,915.75,225.5,6.27,53,291,3395,302,80.9,235.91666666666666,4345
2022-07-13 04:00:00,820,224,6.449999999999999,53,289.25,3372.5,304.25,80.9,198.75,4407.5
2022-07-13 05:00:00,734.75,225.5,6.449999999999999,53,291.25,3342.5,306,80.9,171.33333333333334,4442.5
2022-07-13 06:00:00,662.5,225.5,6.27,53,289.5,3320,314.25,80.9,149.75,4407.5
2022-07-13 07:00:00,596,224.75,6.27,53,291.6666666666667,3300,334,80.9,130.5,4345
2022-07-13 08:00:00,536,224.75,6.182499999999999,53,290.25,3300,362.5,82.8,119.5,4330
