date,lfalls,seneca,goose,monoc_jug,por
2020-07-17T23:00:00Z,2698,71,21,156,2510
2020-07-18T00:00:00Z,2672,76,21,156,2540
2020-07-18T01:00:00Z,2660,73,21,156,2560
2020-07-18T02:00:00Z,2635,72,21,156,2590
2020-07-18T03:00:00Z,2635,72,21,153,2605
2020-07-18T04:00:00Z,2585,73,21,153,2610
2020-07-18T05:00:00Z,2548,73,21,152,2630
2020-07-18T06:00:00Z,2522,72,21,150,2630
2020-07-18T07:00:00Z,2510,76,21,150,2638
2020-07-18T08:00:00Z,2485,76,21,148,2652
2020-07-18T09:00:00Z,2460,74,21,147,2630
2020-07-18T10:00:00Z,2460,71,21,147,2630
2020-07-18T11:00:00Z,2448,68,21,146,2630
2020-07-18T12:00:00Z,2422,65,21,144,2615
2020-07-18T13:00:00Z,2422,62,21,144,2600
2020-07-18T14:00:00Z,2360,61,21,144,2582
2020-07-18T15:00:00Z,2372,60,21,141,2568
2020-07-18T16:00:00Z,2360,60,21,141,2560
2020-07-18T17:00:00Z,2320,63,21,141,2560
2020-07-18T18:00:00Z,2320,64,20,142,2550
2020-07-18T19:00:00Z,2320,76,20,144,2518
2020-07-18T20:00:00Z,2295,78,20,146,2505
2020-07-18T21:00:00Z,2295,81,20,145,2510
2020-07-18T22:00:00Z,2295,79,20,144,2510
2020-07-18T23:00:00Z,2270,87,20,144,2510
2020-07-19T00:00:00Z,2270,83,20,144,2518
2020-07-19T01:00:00Z,2270,78,20,144,2540
2020-07-19T02:00:00Z,2282,78,20,144,2555
2020-07-19T03:00:00Z,2295,72,20,144,2560
2020-07-19T04:00:00Z,2320,72,20,144,2582
2020-07-19T05:00:00Z,2320,70,20,144,2590
2020-07-19T06:00:00Z,2308,68,20,144,2590
2020-07-19T07:00:00Z,2320,67,20,144,2590
2020-07-19T08:00:00Z,2320,66,20,141,2590
2020-07-19T09:00:00Z,2320,64,20,141,2605
2020-07-19T10:00:00Z,2320,61,20,141,2610
2020-07-19T11:00:00Z,2320,58,20,141,2630
2020-07-19T12:00:00Z,2320,55,20,141,2652
2020-07-19T13:00:00Z,2330,52,20,141,2690
2020-07-19T14:00:00Z,2330,51,20,143,2732
2020-07-19T15:00:00Z,2320,50,20,146,2752
2020-07-19T16:00:00Z,2320,51,20,148,2810
2020-07-19T17:00:00Z,2342,52,20,151,2865
2020-07-19T18:00:00Z,2308,54,20,152,2915
2020-07-19T19:00:00Z,2282,64,20,155,2945
2020-07-19T20:00:00Z,2270,68,20,158,2972
2020-07-19T21:00:00Z,2270,73,20,159,3015
2020-07-19T22:00:00Z,2282,85,20,159,3015
2020-07-19T23:00:00Z,2270,88,20,157,3045
2020-07-20T00:00:00Z,2258,87,20,156,3065
2020-07-20T01:00:00Z,2258,85,20,154,3088
2020-07-20T02:00:00Z,2258,84,20,152,3088
2020-07-20T03:00:00Z,2270,84,20,149,3088
2020-07-20T04:00:00Z,2245,86,20,147,3080
2020-07-20T05:00:00Z,2245,88,19,146,3080
2020-07-20T06:00:00Z,2220,86,19,147,3050
2020-07-20T07:00:00Z,2245,86,19,146,3035
2020-07-20T08:00:00Z,2270,84,19,143,3022
2020-07-20T09:00:00Z,2258,81,19,140,2995
2020-07-20T10:00:00Z,2270,78,19,138,2980
2020-07-20T11:00:00Z,2282,75,19,137,2950
2020-07-20T12:00:00Z,2282,70,19,135,2940
2020-07-20T13:00:00Z,2320,68,19,135,2895
2020-07-20T14:00:00Z,2330,68,19,134,2858
2020-07-20T15:00:00Z,2258,68,19,133,2835
2020-07-20T16:00:00Z,2232,70,19,133,2800
2020-07-20T17:00:00Z,2258,72,19,133,2780
2020-07-20T18:00:00Z,2282,77,19,134,2765
2020-07-20T19:00:00Z,2318,79,19,135,2725
2020-07-20T20:00:00Z,2460,84,19,136,2710
2020-07-20T21:00:00Z,2522,83,19,136,2710
2020-07-20T22:00:00Z,2560,81,19,134,2670
2020-07-20T23:00:00Z,2585,79,19,132,2660
2020-07-21T00:00:00Z,2648,78,19,130,2652
2020-07-21T01:00:00Z,2685,77,19,127,2638
2020-07-21T02:00:00Z,2722,76,19,127,2630
2020-07-21T03:00:00Z,2722,79,19,126,2630
2020-07-21T04:00:00Z,2710,79,19,124,2615
2020-07-21T05:00:00Z,2722,82,18,124,2610
2020-07-21T06:00:00Z,2722,82,18,124,2600
2020-07-21T07:00:00Z,2722,82,18,123,2590
2020-07-21T08:00:00Z,2722,81,18,122,2575
2020-07-21T09:00:00Z,2722,77,18,122,2560
2020-07-21T10:00:00Z,2748,74,18,122,2545
2020-07-21T11:00:00Z,2772,72,19,121,2540
2020-07-21T12:00:00Z,2810,68,19,120,2510
2020-07-21T13:00:00Z,2785,66,19,119,2495
2020-07-21T14:00:00Z,2760,65,19,118,2460
2020-07-21T15:00:00Z,2735,66,19,117,2440
2020-07-21T16:00:00Z,2722,67,19,117,2425
2020-07-21T17:00:00Z,2685,70,19,119,2410
2020-07-21T18:00:00Z,2660,74,18,120,2392
2020-07-21T19:00:00Z,2648,77,18,123,2365
2020-07-21T20:00:00Z,2610,78,18,121,2350
2020-07-21T21:00:00Z,2610,78,18,121,2350
2020-07-21T22:00:00Z,2598,80,18,121,2350
2020-07-21T23:00:00Z,2572,82,18,118,2350
2020-07-22T00:00:00Z,2560,80,18,119,2350
2020-07-22T01:00:00Z,2610,79,18,119,2350
2020-07-22T02:00:00Z,2698,79,18,121,2370
2020-07-22T03:00:00Z,2660,81,18,121,2370
2020-07-22T04:00:00Z,2698,80,18,123,2370
2020-07-22T05:00:00Z,2872,84,18,127,2385
2020-07-22T06:00:00Z,2860,84,18,132,2400
2020-07-22T07:00:00Z,2735,82,18,134,2400
2020-07-22T08:00:00Z,2672,81,18,133,2378
2020-07-22T09:00:00Z,2685,77,18,133,2365
2020-07-22T10:00:00Z,2760,74,18,132,2345
2020-07-22T11:00:00Z,2810,72,18,131,2322
2020-07-22T12:00:00Z,2785,68,18,130,2290
2020-07-22T13:00:00Z,2710,66,18,130,2265
2020-07-22T14:00:00Z,2648,64,18,130,2225
2020-07-22T15:00:00Z,2598,64,18,128,2200
2020-07-22T16:00:00Z,2548,67,18,127,2175
2020-07-22T17:00:00Z,2510,71,18,127,2160
2020-07-22T18:00:00Z,2472,73,18,130,2150
2020-07-22T19:00:00Z,2448,80,18,134,2245
2020-07-22T20:00:00Z,2560,92,20,136,2293
2020-07-22T21:00:00Z,3155,96,21,143,2332
2020-07-22T22:00:00Z,4860,97,21,144,2350
