date,lfalls,seneca,goose,monoc_jug,por
2020-09-10T22:00:00Z,NA,NA,NA,NA,NA
2020-09-10T23:00:00Z,NA,NA,NA,NA,NA
2020-09-11T00:00:00Z,NA,NA,NA,NA,NA
2020-09-11T01:00:00Z,NA,NA,NA,NA,NA
2020-09-11T02:00:00Z,NA,NA,NA,NA,NA
2020-09-11T03:00:00Z,NA,NA,NA,NA,NA
2020-09-11T04:00:00Z,5250,151,56,153,4460
2020-09-11T05:00:00Z,5215,148,56,151,5065
2020-09-11T06:00:00Z,5128,148,56,150,5955
2020-09-11T07:00:00Z,5058,136,56,148,6630
2020-09-11T08:00:00Z,4945,124,56,148,7025
2020-09-11T09:00:00Z,4875,116,56,148,7230
2020-09-11T10:00:00Z,4810,108,56,148,7262
2020-09-11T11:00:00Z,4780,105,56,150,7227
2020-09-11T12:00:00Z,4710,102,56,151,7045
2020-09-11T13:00:00Z,4680,98,56,151,6835
2020-09-11T14:00:00Z,4632,95,56,151,6602
2020-09-11T15:00:00Z,4580,94,56,151,6360
2020-09-11T16:00:00Z,4520,94,56,151,6175
2020-09-11T17:00:00Z,4535,98,56,151,6018
2020-09-11T18:00:00Z,4473,99,57,151,5932
2020-09-11T19:00:00Z,4485,100,61,151,5842
2020-09-11T20:00:00Z,4565,99,67,149,5770
2020-09-11T21:00:00Z,4648,96,71,148,5740
2020-09-11T22:00:00Z,4828,94,75,148,5730
2020-09-11T23:00:00Z,5058,91,76,148,5720
2020-09-12T00:00:00Z,5328,92,76,146,5740
2020-09-12T01:00:00Z,5625,92,76,148,5720
2020-09-12T02:00:00Z,5915,91,76,149,5740
2020-09-12T03:00:00Z,6178,91,75,151,5740
2020-09-12T04:00:00Z,6370,90,73,152,5730
2020-09-12T05:00:00Z,6490,92,73,155,5685
2020-09-12T06:00:00Z,6530,94,71,159,5628
2020-09-12T07:00:00Z,6510,91,70,159,5540
2020-09-12T08:00:00Z,6490,89,69,162,5448
2020-09-12T09:00:00Z,6370,87,68,161,5335
